央视频道,#genre#
CCTV-1 综合,http://192.168.1.211:4022/udp/233.50.201.118:5140                        
CCTV-2 财经,http://192.168.1.211:4022/udp/233.50.201.119:5140
CCTV-3 综艺,http://192.168.1.211:4022/udp/233.50.201.196:5140                        
CCTV-4 中文国际,http://192.168.1.211:4022/udp/233.50.200.101:5140                            
CCTV-5 体育,http://192.168.1.211:4022/udp/233.50.201.197:5140
CCTV-5+ 体育赛事,http://192.168.1.211:4022/udp/233.50.201.220:5140
CCTV-6 电影,http://192.168.1.211:4022/udp/233.50.201.198:5140
CCTV-7 国防军事,http://192.168.1.211:4022/udp/233.50.201.120:5140
CCTV-8 电视剧,http://192.168.1.211:4022/udp/233.50.201.199:5140
CCTV-9 纪录,http://192.168.1.211:4022/udp/233.50.201.121:5140
CCTV-10 科教,http://192.168.1.211:4022/udp/233.50.201.122:5140
CCTV-11 戏曲,http://192.168.1.211:4022/udp/233.50.201.11:5140
CCTV-12 社会与法,http://192.168.1.211:4022/udp/233.50.201.123:5140
CCTV-13 新闻,http://192.168.1.211:4022/udp/233.50.201.246:5140
CCTV-14 少儿,http://192.168.1.211:4022/udp/233.50.201.124:5140
CCTV-15 音乐,http://192.168.1.211:4022/udp/233.50.201.15:5140
CCTV-16 奥林匹克,http://192.168.1.211:4022/udp/233.50.201.192:5140
CCTV-16 4K奥林匹克,http://192.168.1.211:4022/udp/233.50.201.63:5140
CCTV-17 农业农村,http://192.168.1.211:4022/udp/233.50.200.113:5140
卫视频道,#genre#
浙江卫视,http://192.168.1.211:4022/udp/233.50.201.100:5140
东方卫视,http://192.168.1.211:4022/udp/233.50.201.125:5140
北京卫视,http://192.168.1.211:4022/udp/233.50.201.107:5140
湖南卫视,http://192.168.1.211:4022/udp/233.50.201.103:5140
天津卫视,http://192.168.1.211:4022/udp/233.50.201.104:5140
河北卫视,http://192.168.1.211:4022/udp/233.50.201.140:5140
安徽卫视,http://192.168.1.211:4022/udp/233.50.201.113:5140
云南卫视,http://192.168.1.211:4022/udp/233.50.200.115:5140
四川卫视,http://192.168.1.211:4022/udp/233.50.201.139:5140
江西卫视,http://192.168.1.211:4022/udp/233.50.201.145:5140
江苏卫视,http://192.168.1.211:4022/udp/233.50.201.106:5140
湖北卫视,http://192.168.1.211:4022/udp/233.50.201.114:5140
广东卫视,http://192.168.1.211:4022/udp/233.50.201.102:5140
黑龙江卫视,http://192.168.1.211:4022/udp/233.50.201.115:5140
深圳卫视,http://192.168.1.211:4022/udp/233.50.201.101:5140
山东卫视,http://192.168.1.211:4022/udp/233.50.201.105:5140
辽宁卫视,http://192.168.1.211:4022/udp/233.50.201.141:5140
贵州卫视,http://192.168.1.211:4022/udp/233.50.201.142:5140
重庆卫视,http://192.168.1.211:4022/udp/233.50.201.143:5140
河南卫视,http://192.168.1.211:4022/udp/233.50.201.144:5140
东南卫视,http://192.168.1.211:4022/udp/233.50.201.146:5140
浙江频道内网V4,#genre#
中国蓝直播高清,http://192.168.1.211:4022/udp/233.50.201.108:5140
浙江卫视高清,http://192.168.1.211:4022/udp/233.50.201.100:5140
浙江钱江高清,http://192.168.1.211:4022/udp/233.50.201.132:5140                                
浙江生活高清,http://192.168.1.211:4022/udp/233.50.201.133:5140
浙江教育高清,http://192.168.1.211:4022/udp/233.50.201.134:5140
浙江民生高清,http://192.168.1.211:4022/udp/233.50.201.136:5140
浙江新闻高清,http://192.168.1.211:4022/udp/233.50.201.137:5140
浙江少儿高清,http://192.168.1.211:4022/udp/233.50.201.138:5140
浙江纪录高清,http://192.168.1.211:4022/udp/233.50.202.25:5140
杭州综合高清,http://192.168.1.211:4022/udp/233.50.201.173:5140
杭州明珠高清,http://192.168.1.211:4022/udp/233.50.201.174:5140                 
杭州生活高清,http://192.168.1.211:4022/udp/233.50.201.175:5140
杭州影视高清,http://192.168.1.211:4022/udp/233.50.201.176:5140
杭州青少高清,http://192.168.1.211:4022/udp/233.50.201.177:5140
杭州导视高清,http://192.168.1.211:4022/udp/233.50.201.182:5140
宁波综合高清,http://192.168.1.211:4022/udp/233.50.201.168:5140
宁波生活高清,http://192.168.1.211:4022/udp/233.50.201.178:5140
宁波文体高清,http://192.168.1.211:4022/udp/233.50.201.179:5140
宁波影视高清,http://192.168.1.211:4022/udp/233.50.201.180:5140
宁波少儿高清,http://192.168.1.211:4022/udp/233.50.201.181:5140
温州综合高清,http://192.168.1.211:4022/udp/233.50.201.87:5140
绍兴综合高清,http://192.168.1.211:4022/udp/233.50.201.156:5140
衢州综合高清,http://192.168.1.211:4022/udp/233.50.202.11:5140
衢州公共高清,http://192.168.1.211:4022/udp/233.50.202.12:5140
丽水新闻综合,http://192.168.1.211:4022/udp/233.50.201.162:5140
特色频道,#genre#
欢笑剧场,http://192.168.1.211:4022/udp/233.50.201.189:5140
法治天地,http://192.168.1.211:4022/udp/233.50.201.191:5140
生活时尚,http://192.168.1.211:4022/udp/233.50.201.187:5140
游戏风云,http://192.168.1.211:4022/udp/233.50.201.183:5140
动漫秀场,http://192.168.1.211:4022/udp/233.50.201.184:5140
金色学堂,http://192.168.1.211:4022/udp/233.50.201.186:5140
茶频道,http://192.168.1.211:4022/udp/233.50.201.188:5140
快乐垂钓,http://192.168.1.211:4022/udp/233.50.201.109:5140
第一财经,http://192.168.1.211:4022/udp/233.50.200.125:5140








